antecedents,consequents,support,confidence,lift
frozenset({'Customer_Seniority_Low'}),"frozenset({'Response_0', 'Income_Low'})",0.10223214285714285,0.30411686586985387,1.030592707335057
frozenset({'Response_0'}),"frozenset({'Customer_Seniority_Low', 'Income_Low'})",0.10223214285714285,0.12014690451206715,1.107527021016586
"frozenset({'Income_Med', 'Customer_Seniority_Low'})",frozenset({'Response_0'}),0.10044642857142858,0.9574468085106383,1.1252260498760913
frozenset({'Response_0'}),"frozenset({'Income_Med', 'Customer_Seniority_Low'})",0.10044642857142858,0.1180482686253935,1.125226049876091
"frozenset({'NumWebPurchases_High', 'Customer_Seniority_Low'})",frozenset({'Response_0'}),0.0625,0.9032258064516129,1.061503571065904
frozenset({'Response_0'}),"frozenset({'NumWebPurchases_High', 'Customer_Seniority_Low'})",0.0625,0.07345225603357818,1.061503571065904
"frozenset({'NumWebPurchases_Low', 'Customer_Seniority_Low'})",frozenset({'Response_0'}),0.13794642857142858,0.9626168224299066,1.1313020368536153
"frozenset({'NumWebPurchases_Low', 'Response_0'})",frozenset({'Customer_Seniority_Low'}),0.13794642857142858,0.42679558011049723,1.2696176619488895
"frozenset({'Customer_Seniority_Low', 'Response_0'})",frozenset({'NumWebPurchases_Low'}),0.13794642857142858,0.4491279069767442,1.2964516902421483
frozenset({'NumWebPurchases_Low'}),"frozenset({'Customer_Seniority_Low', 'Response_0'})",0.13794642857142858,0.3981958762886598,1.2964516902421481
frozenset({'Customer_Seniority_Low'}),"frozenset({'NumWebPurchases_Low', 'Response_0'})",0.13794642857142858,0.41035856573705176,1.2696176619488893
frozenset({'Response_0'}),"frozenset({'NumWebPurchases_Low', 'Customer_Seniority_Low'})",0.13794642857142858,0.1621196222455404,1.1313020368536155
"frozenset({'Customer_Seniority_Low', 'NumWebPurchases_Med'})",frozenset({'Response_0'}),0.10669642857142857,0.8628158844765342,1.0140123721025376
"frozenset({'Response_0', 'NumWebPurchases_Med'})",frozenset({'Customer_Seniority_Low'}),0.10669642857142857,0.35043988269794724,1.0424772074945574
frozenset({'Customer_Seniority_Low'}),"frozenset({'Response_0', 'NumWebPurchases_Med'})",0.10669642857142857,0.3173970783532536,1.0424772074945574
frozenset({'Response_0'}),"frozenset({'Customer_Seniority_Low', 'NumWebPurchases_Med'})",0.10669642857142857,0.12539349422875132,1.0140123721025376
